ell2_m,ell2_mm,D2_true,D2_cal,D2_err_pct,S2_true,S2_cal,S2_err_pct
1.000000e-04,0.1000,1.122002e-11,1.094411e-11,2.4591,3.577937e+22,3.668125e+22,2.5207
3.162278e-04,0.3162,1.122002e-11,1.094411e-11,2.4591,3.577937e+22,3.668125e+22,2.5207
1.000000e-03,1.0000,1.122002e-11,1.094411e-11,2.4591,3.577937e+22,3.668124e+22,2.5207
3.162278e-03,3.1623,1.122002e-11,1.094411e-11,2.4591,3.577937e+22,3.668124e+22,2.5206
1.000000e-02,10.0000,1.122002e-11,1.094411e-11,2.4590,3.577937e+22,3.668122e+22,2.5206
3.162278e-02,31.6228,1.122002e-11,2.190866e-11,95.2640,3.577937e+22,7.942246e+21,77.8022
1.000000e-01,100.0000,1.122002e-11,9.806014e-11,773.9749,3.577937e+22,2.865947e+18,99.9920
